Combined,Date,Line,Temp,Time,bacteria,Strain,CFUs,LOD,NewCFU,bacteria_label
Dpi.0,8/10/22,HNO204,37,0,Dpi,3065,112500000,FALSE,112500000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/10/22,HNO204,34,0,Dpi,3065,112500000,FALSE,112500000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/14/22,HNO919,34,0,Dpi,3065,38625000,FALSE,38625000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,11/1/22,HNO919,34,0,Dpi,3065,41625000,FALSE,41625000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,2/7/23,HNO204,34,0,Dpi,3065,46500000,FALSE,46500000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/7/22,HNO918,34,0,Dpi,3065,55125000,FALSE,55125000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,2/14/23,HNO919,34,0,Dpi,3065,38250000,FALSE,38250000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/31/22,HNO204,37,0,Dpi,3065,44250000,FALSE,44250000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,11/2/22,HNO919,37,0,Dpi,3065,191250000,FALSE,191250000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,1/17/23,HNO204,34,0,Dpi,3065,62250000,FALSE,62250000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/6/22,HNO919,37,0,Dpi,3065,50625000,FALSE,50625000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,11/1/22,HNO919,37,0,Dpi,3065,41625000,FALSE,41625000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/23/22,HNO204,37,0,Dpi,3065,52125000,FALSE,52125000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/23/22,HNO204,34,0,Dpi,3065,52125000,FALSE,52125000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/13/22,HNO204,34,0,Dpi,3065,31500000,FALSE,31500000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,11/2/22,HNO919,34,0,Dpi,3065,191250000,FALSE,191250000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/17/22,HNO918,37,0,Dpi,3065,48375000,FALSE,48375000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/16/22,HNO919,34,0,Dpi,3065,33000000,FALSE,33000000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/9/22,HNO918,34,0,Dpi,3065,17625000,FALSE,17625000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,2/28/23,HNO204,34,0,Dpi,3065,28875000,FALSE,28875000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/14/22,HNO919,37,0,Dpi,3065,38625000,FALSE,38625000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/31/22,HNO204,34,0,Dpi,3065,44250000,FALSE,44250000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/7/22,HNO918,37,0,Dpi,3065,55125000,FALSE,55125000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/13/22,HNO204,37,0,Dpi,3065,31500000,FALSE,31500000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/30/22,HNO918,37,0,Dpi,3065,45000000,FALSE,45000000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,1/24/23,HNO919,34,0,Dpi,3065,28500000,FALSE,28500000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/17/22,HNO918,34,0,Dpi,3065,48375000,FALSE,48375000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,9/6/22,HNO919,34,0,Dpi,3065,50625000,FALSE,50625000,<b><span style='color:#0443DC;'>0</span></b>
Dpi.0,8/9/22,HNO918,37,0,Dpi,3065,17625000,FALSE,17625000,<b><span style='color:#0443DC;'>0</span></b>
