Bac.Via,plate,well,sample,treatment,bacteria,type,line,time,location,viability,date,Analyte Sample,HEKWell,Abs,log_pg.ml,pg.ml,LOD_pg.ml,via,concentration_avg,Bac.Via_label
Dpi.IRR,2,38,DpiB 48 Baso IRR,D. pigrum Irradiated,Dpi,sample,HNO204,48,Basal,IRR,2/28/2023,Unknown113,C8,0.286,0.5551015845904841,3.5900589887627206,3.5900589887627206,IRR,3.5900589887627206,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,2,13,DpiC 48 Baso IRR,D. pigrum Irradiated,Dpi,sample,HNO919,48,Basal,IRR,2/14/2023,Unknown88,B5,1.25,1.4124042597035376,25.846649868923016,25.846649868923016,IRR,25.846649868923016,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,1,63,DpiB 48 Baso IRR,D. pigrum Irradiated,Dpi,sample,HNO204,48,Basal,IRR,2/7/2023,Unknown63,D11,0.803,1.0148790566168833,10.348539379074607,10.348539379074607,IRR,10.348539379074607,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,2,63,DpiC 48 Baso IRR,D. pigrum Irradiated,Dpi,sample,HNO919,48,Basal,IRR,3/6/2023,Unknown138,D11,1.039,1.2247581347565932,16.778693267686,16.778693267686,IRR,16.778693267686,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,1,38,DpiC 48 Baso IRR,D. pigrum Irradiated,Dpi,sample,HNO919,48,Basal,IRR,1/24/2023,Unknown38,C8,1.855,1.9504417269684726,89.2157903045658,89.2157903045658,IRR,89.2157903045658,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,2,62,DpiC 48 Ap IRR,D. pigrum Irradiated,Dpi,sample,HNO919,48,Apical,IRR,3/6/2023,Unknown137,C11,3.12,3.075429158522428,1189.6772549266552,500,IRR,1189.6772549266552,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,1,12,DpiB 48 Ap IRR,D. pigrum Irradiated,Dpi,sample,HNO204,48,Apical,IRR,1/17/2023,Unknown12,A5,2.903,2.88244712480922,762.864007099734,500,IRR,762.864007099734,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,1,13,DpiB 48 Baso IRR,D. pigrum Irradiated,Dpi,sample,HNO204,48,Basal,IRR,1/17/2023,Unknown13,B5,1.325,1.4791031192818351,30.137215200525834,30.137215200525834,IRR,30.137215200525834,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,2,37,DpiB 48 Ap IRR,D. pigrum Irradiated,Dpi,sample,HNO204,48,Apical,IRR,2/28/2023,Unknown112,B8,1.865,1.9593349082455789,91.06152271827817,91.06152271827817,IRR,91.06152271827817,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
Dpi.IRR,2,12,DpiC 48 Ap IRR,D. pigrum Irradiated,Dpi,sample,HNO919,48,Apical,IRR,2/14/2023,Unknown87,A5,2.621,2.63165941279482,428.21257110166846,428.21257110166846,IRR,428.21257110166846,<b><span style='color:white;'>.</span><i><span style='color:#0443DC;'>Dpi</span></i><span style='color:white;'>.</span></b>
