Date,Line,Species,bacteria_label,Temp,Well_Endpoint,FC
01_17_2023,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,0.9205955334987592
01_17_2023,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.610705596107056
01_17_2023,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,0.9166666666666667
01_17_2023,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,1.1521252796420582
01_17_2023,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,0.9660633484162896
01_17_2023,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.2196382428940566
01_17_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,24,0.9367681498829039
01_17_2023,HNO204,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.4673629242819841
01_24_2023,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,1
01_24_2023,HNO919,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.1666666666666665
01_24_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,0.8636363636363636
01_24_2023,HNO919,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,48,1.0420560747663552
01_24_2023,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,24,1.0387596899224805
01_24_2023,HNO919,Uncolonized,<b><span style='color:#5b5b5b;'>Uncol</span></b>,34,48,1.0629921259842519
02_07_2023,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,24,0.8978388998035363
02_07_2023,HNO204,Dpi,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>,34,48,1.1233243967828417
02_07_2023,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,24,0.9664429530201342
02_07_2023,HNO204,Sau,<i><b><span style='color:#6D05A0;'>Sau</span></i></b>,34,48,18.76600985221675
02_07_2023,HNO204,Spn,<i><b><span style='color:#927ED1;'>Spn</span></i></b>,34,24,0.8400000000000001
