Species,Date,LDHAssay_PlateNumber,Coordinate,Line,Assay,Location,Strain,Temp,Well_Endpoint,Collection_Time,Replicate,Value,CFUmatched,Reject,bacteria_label
Dpi,09_14_2022,1,C6,HNO919,CFU,Baso,KPL3065,34,48,0,3,0.102,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_17_2022,1,F3,HNO918,CFU,Baso,KPL3065,37,48,0,1,0.090400003,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_09_2022,1,B2,HNO918,CFU,Baso,KPL3065,34,24,0,2,0.071800001,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_13_2022,1,A4,HNO204,CFU,Baso,KPL3065,34,24,0,1,0.082,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_17_2022,1,F2,HNO918,CFU,Baso,KPL3065,34,48,0,2,0.085699998,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_09_2022,1,B1,HNO918,CFU,Baso,KPL3065,34,24,0,1,0.0614,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_14_2022,1,C5,HNO919,CFU,Baso,KPL3065,34,48,0,2,0.099,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,11_02_2022,1,A10,HNO919,CFU,Baso,KPL3065,34,24,0,1,0.115,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_07_2022,1,C6,HNO918,CFU,Baso,KPL3065,34,48,0,3,0.082,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_06_2022,1,A4,HNO919,CFU,Baso,KPL3065,34,24,0,1,0.08,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_14_2022,1,B4,HNO919,CFU,Baso,KPL3065,34,24,24,1,0.109,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_10_2022,1,B11,HNO204,CFU,Baso,KPL3065,37,48,48,1,0.34799999,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_17_2022,1,F1,HNO918,CFU,Baso,KPL3065,34,48,0,1,0.082500003,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_10_2022,1,B12,HNO204,CFU,Baso,KPL3065,37,48,48,2,0.410299987,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_16_2022,1,B4,HNO919,CFU,Baso,KPL3065,34,24,24,2,0.126399994,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_09_2022,1,B11,HNO918,CFU,Baso,KPL3065,37,48,48,1,0.235100001,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_14_2022,1,C4,HNO919,CFU,Baso,KPL3065,34,48,0,1,0.102,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_14_2022,1,H4,HNO919,CFU,Baso,KPL3065,37,48,48,1,0.401,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_13_2022,1,G5,HNO204,CFU,Baso,KPL3065,37,48,0,2,0.086,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_07_2022,1,E4,HNO918,CFU,Baso,KPL3065,37,24,0,1,0.108,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_09_2022,1,B10,HNO918,CFU,Baso,KPL3065,37,24,24,2,0.147200003,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,08_09_2022,1,B9,HNO918,CFU,Baso,KPL3065,37,24,24,1,0.129199997,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,09_13_2022,1,H5,HNO204,CFU,Baso,KPL3065,37,48,48,2,0.371,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
Dpi,11_01_2022,1,A6,HNO919,CFU,Baso,KPL3065,34,24,0,3,0.084,T,F,<i><b><span style='color:#0443DC;'>Dpi</span></i></b>
