"","HNO204_37_d23_DIFF_B1","HNO204_MX_d23_DIFF_B1","HNO918_37_d23_DIFF_B1","HNO918_MX_d23_DIFF_B1","HNO919_37_d23_DIFF_B1","HNO919_MX_d23_DIFF_B1","HNO204_37_d23_DIFF_B2","HNO204_MX_d23_DIFF_B2","HNO918_37_d23_DIFF_B2","HNO918_MX_d23_DIFF_B2","HNO919_37_d23_DIFF_B2","HNO919_MX_d23_DIFF_B2"
"ENSG00000000003",4306,5027,7371,6483,4516,4009,2604,5050,3228,3592,3808,1991
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",814,933,1096,1193,771,760,568,1105,561,712,564,624
"ENSG00000000457",511,761,755,856,624,542,301,428,418,423,391,207
"ENSG00000000460",97,186,162,167,124,150,47,130,105,83,59,58
"ENSG00000000938",4,2,7,1,2,3,4,4,0,8,1,0
"ENSG00000000971",2954,3555,4079,3533,3714,3362,1085,1639,1746,1419,1552,814
"ENSG00000001036",694,964,850,958,616,778,524,1199,566,780,598,545
"ENSG00000001084",4921,6575,9319,10981,4962,6107,3111,6388,4667,5389,3863,2527
"ENSG00000001167",555,708,798,699,677,677,308,612,544,417,400,192
"ENSG00000001460",1031,1017,1315,1008,927,786,699,1023,794,820,837,439
"ENSG00000001461",1975,2335,2459,2084,2045,1895,1215,1823,1437,1289,1304,579
"ENSG00000001497",799,1039,1308,1232,822,1022,668,1473,664,924,782,998
"ENSG00000001561",1389,1678,2758,2809,1613,1455,623,1285,1000,1087,1083,396
"ENSG00000001617",4930,4762,8335,5762,5149,4414,5019,5072,7657,4393,7260,2952
"ENSG00000001626",478,406,1447,1014,764,525,178,225,670,443,594,156
"ENSG00000001629",1533,1833,2278,2089,1643,1670,780,1315,1052,975,932,346
"ENSG00000001630",145,87,207,98,118,88,44,112,128,98,70,35
"ENSG00000001631",230,253,315,288,231,223,153,249,159,156,169,123
"ENSG00000002016",138,178,212,175,248,180,157,157,146,80,108,67
"ENSG00000002330",967,771,1262,919,731,760,1245,1960,1141,1300,1520,1667
"ENSG00000002549",2079,2438,3628,3180,1855,2373,1278,2812,1839,2670,2044,1757
"ENSG00000002586",1452,1552,2985,2619,1086,1395,2354,4951,2528,3024,2704,3065
"ENSG00000002587",922,756,2585,1991,1079,851,784,1059,2269,1417,1809,686
"ENSG00000002726",0,0,5,0,0,4,0,2,2,0,3,1
"ENSG00000002745",8,4,30,47,33,35,4,5,19,5,17,9
"ENSG00000002746",0,4,2,0,3,2,0,1,3,1,0,1
"ENSG00000002822",423,437,676,547,403,450,498,1089,567,667,651,976
"ENSG00000002834",4464,3989,6733,4797,3705,3840,3987,5421,5028,4224,4668,1945
